Afghanistan; 59.9,28.66 75.65,39.11
Africa; -20.2,-37.6 53.4,35.75
Albania; 19.36,39.42 21.39,42.71
Algeria; -9.47,17.94 13.19,38.14
Angola; 11.31,-18.68 24.97,-3.84
Antarctic; -180,-90 180,-66
Antarctica; -180,-90 180,-62.83
Arctic; -180,66 180,90
Argentina; -74.97,-56.71 -51.76,-20.25
Armenia; 43.53,38.68 47.07,41.48
Asia; 40,-10 180,83.5
Australia; 111.22,-45.73 155.72,-8.88
Austria; 9.27,45.99 17.93,49.38
Azerbaijan; 44.58,38.04 50.96,42.2
Bangladesh; 87.95,20.75 93.07,26.62
Belgium; 2.54,49.31 6.69,51.69
Belize; -89.18,15.78 -87.78,18.64
Benin; 0.74,5.97 4.34,12.66
Bhutan; 88.8,26.54 92.37,28.46
Bolivia; -70.05,-23.63 -56.72,-9.13
Bosnia and Herzegovina; 15.76,42.38 20.02,45.45
Botswana; 19.57,-27.41 29.94,-17.32
Brazil; -75.64,-35.81 -32.74,7.12
Brunei; 114.22,3.96 115.42,5.09
Bulgaria; 22.19,40.86 29.02,44.59
Burkina Faso; -5.72,9.19 2.98,15.54
Burma; 91.41,9.22 102.13,29.34
Burundi; 28.98,-4.85 31.17,-2.35
Byelarus; 22.91,50.82 33.38,56.65
Cambodia; 102.28,10.07 107.98,14.86
Cameroon; 8.22,1.06 16.85,13.65
Canada; -145.27,37.3 -48.11,87.61
Caribbean; -91.4,27.36 -55.4,6.48
Central African Republic; 13.96,1.5 28.11,11.67
Central America; -94.1,21.8 -75.8,6.61
Chad; 12.88,6.67 24.97,24.19
Chile; -77.16,-56.79 -64.9,-15.72
China; 70.83,15.06 137.97,56.58
Colombia; -79.69,-5 -66.15,13.28
Congo; 10.93,-5.41 19.19,3.98
Costa Rica; -85.83,7.9 -82.18,11.38
Croatia; 13.47,42.09 19.92,46.84
Cuba; -85.03,19.36 -73.44,23.68
Cyprus; 32.23,34.44 34.78,35.78
Czech Republic; 12.13,48.23 19.38,51.42
Denmark; 8.02,54.68 12.89,58
Djibouti; 41.89,10.78 43.77,12.81
Dominican Republic; -71.87,17.54 -67.99,20.12
East Pacific Ocean; -180,64.8 -72.7,-75.6
Ecuador; -81.08,-5.35 -74.68,1.72
Egypt; 24.29,21.29 37.61,32.14
El Salvador; -90.05,13.07 -87.41,14.6
Equatorial Guinea; 8.39,0.76 11.59,3.82
Eritrea; 36.31,12 43.58,18.41
Estonia; 23.3,57.29 28.59,59.75
Ethiopia; 32.49,2.63 48.85,15.56
Europe; -25.1,71.3 35,34.9
Finland; 20.46,59.3 32.14,70.44
France; -5.29,40.65 10.4,51.82
French Guiana; -54.37,1.84 -51.23,5.89
Gabon; 8.71,-4.23 15.01,2.6
Gambia; -16.71,13.02 -13.66,13.96
Germany; 5.68,46.86 15.68,55.41
Ghana; -3.31,4.39 1.7,11.47
Greece; 19.99,34.62 27.19,42.01
Greenland; -75.34,56.78 -9.36,86.6
Guatemala; -92.24,13.59 -87.87,18.06
Guinea; -15.19,6.77 -6.87,13.02
Guinea-Bissau; -16.51,10.97 -13.34,12.8
Guyana; -61.41,0.81 -56.12,8.79
Haiti; -74.38,17.88 -71.34,20.1
Honduras; -89.47,12.75 -82.92,16.31
Hungary; 16.12,45.44 23.57,48.95
Iceland; -24.55,62.81 -12.79,67.01
India; 66.79,6.58 99.01,36.96
Indian Ocean; 22.3,-55.4 119.5,25.2
Indonesia; 93.11,-12.65 143.45,7.88
Iran; 43.31,24.08 64.42,40.73
Iraq; 38.47,28.5 49.25,37.84
Ireland; -10.52,51.23 -5.62,55.49
Israel; 34.17,29.25 36.09,33.31
Italy; 6.11,36.15 19.33,47.71
Ivory Coast; -8.64,4.03 -2.01,10.96
Jamaica; -78.22,17.72 -76,18.63
Japan; 128.74,30.1 146.46,46.26
Jordan; 34.97,28.87 39.75,33.44
Kazakhstan; 44.73,38.62 89.65,57.49
Kenya; 33,-5.3 42.44,5.07
Democratic People's Republic of Korea; 124.02,43.29 37.55,130.95
Republic of Korea; 125.95,38.76 33.06,129.88
Kuwait; 46.62,28.34 48.74,30
Kyrgyzstan; 69.01,38.7 81.03,43.77
Laos; 99.77,13.47 108.1,22.98
Latvia; 20.76,55.32 28.76,58.44
Lebanon; 35.09,32.84 36.79,34.63
Lesotho; 27.16,-30.89 29.76,-28.59
Liberia; -11.47,4.16 -6.95,8.66
Libya; 8.79,18.7 26.1,33.95
