"WL(nm)","band 1","band 2","band 3","band 4"
390,0.0000,,,
395,0.0000,,,
400,0.0017,,,
405,0.0080,,,
410,0.0293,,,
415,0.1260,,,
420,0.3958,,,
425,0.6672,,,
430,0.7223,,,
435,0.7300,,,
440,0.7245,,,
445,0.8189,,,
450,0.8815,,,
455,0.9322,,,
460,0.9669,,,
465,0.9747,,,
470,1.0000,,,
475,0.9699,,,
480,0.9316,,,
485,0.9415,0.0000,,
490,0.9849,0.0000,,
495,0.9351,0.0015,,
500,0.5754,0.0045,,
505,0.2068,0.0202,,
510,0.0655,0.0739,,
515,0.0226,0.1977,,
520,0.0075,0.4433,,
525,0.0018,0.6832,,
530,0.0000,0.7442,,
535,0.0000,0.7746,,
540,0.0000,0.8432,,
545,0.0000,0.8719,0.0000,
550,0.0000,0.8724,0.0000,
555,,0.9022,0.0000,
560,,0.9486,0.0000,
565,,0.9764,0.0016,
570,,1.0000,0.0034,
575,,0.9808,0.0051,
580,,0.8890,0.0099,
585,,0.7843,0.0153,
590,,0.7458,0.0304,
595,,0.6854,0.0620,
600,,0.4425,0.1370,
605,,0.1586,0.2844,
610,,0.0384,0.4871,
615,,0.0088,0.6624,
620,,0.0017,0.7771,
625,,0.0000,0.8021,
630,,,0.7960,
635,,,0.8017,
640,,,0.8606,
645,,,0.9359,
650,,,0.9825,
655,,,1.0000,
660,,,0.9862,
665,,,0.9275,
670,,,0.8818,
675,,,0.8395,
680,,,0.8293,
685,,,0.8136,
690,,,0.6804,
695,,,0.4158,
700,,,0.2043,0.0000
705,,,0.0898,0.0000
710,,,0.0369,0.0000
715,,,0.0177,0.0000
720,,,0.0093,0.0023
725,,,0.0060,0.0022
730,,,0.0030,0.0045
735,,,0.0015,0.0115
740,,,0.0016,0.0264
745,,,0.0000,0.0704
750,,,,0.1572
755,,,,0.3129
760,,,,0.5733
765,,,,0.8754
770,,,,1.0000
775,,,,0.9768
780,,,,0.9288
785,,,,0.8894
790,,,,0.8633
795,,,,0.8622
800,,,,0.8885
805,,,,0.9388
810,,,,0.9486
815,,,,0.9576
820,,,,0.9247
825,,,,0.8691
830,,,,0.8242
835,,,,0.7545
840,,,,0.7117
845,,,,0.6705
850,,,,0.6414
855,,,,0.6299
860,,,,0.6217
865,,,,0.6237
870,,,,0.5812
875,,,,0.5874
880,,,,0.5860
885,,,,0.5532
890,,,,0.4969
895,,,,0.3908
900,,,,0.2475
905,,,,0.1338
910,,,,0.0727
915,,,,0.0359
920,,,,0.0224
925,,,,0.0097
930,,,,0.0040
935,,,,0.0036
940,,,,0.0025
945,,,,0.0024
950,,,,0.0007
955,,,,0.0000
960,,,,0.0007
965,,,,0.0006
970,,,,0.0006
975,,,,0.0000
980,,,,0.0000
985,,,,0.0000
990,,,,0.0000
995,,,,0.0000
1000,,,,0.0000
