"WL(nm)","B-CCD4_reflection","B-CCD4_reflect","B-CCD5_transmit","B-CCD5_transmit"
450,0.0037,0.0000,0.0000,0.0000
460,0.0060,0.0013,0.0053,0.0080
470,0.0039,0.0061,0.0042,0.0049
480,0.0119,0.0106,0.0024,0.0061
490,0.1513,0.1538,0.0426,0.0418
500,0.5694,0.5740,0.2870,0.2893
510,0.9104,0.9136,0.5672,0.5659
520,0.9644,0.9701,0.7451,0.7498
530,0.9046,0.9161,0.9027,0.9012
540,0.8657,0.8768,0.9713,0.9794
550,0.9461,0.9491,0.9610,0.9740
560,1.0000,1.0000,0.9552,0.9570
570,0.9543,0.9476,0.9380,0.9433
580,0.8936,0.9104,0.9662,0.9724
590,0.8580,0.8571,1.0000,1.0000
600,0.8563,0.8525,0.9891,0.9938
610,0.8127,0.8117,0.8920,0.8860
620,0.8609,0.8624,0.8230,0.8146
630,0.8177,0.8253,0.7853,0.7792
640,0.8000,0.7906,0.7387,0.7450
650,0.7642,0.7660,0.7905,0.7978
660,0.7113,0.6979,0.8061,0.8099
670,0.6363,0.6420,0.7441,0.7532
680,0.5905,0.5828,0.6788,0.6697
690,0.6339,0.6350,0.6606,0.6628
700,0.6592,0.6652,0.6458,0.6393
710,0.6356,0.6366,0.5606,0.5643
720,0.6204,0.6211,0.5105,0.5094
730,0.5881,0.5852,0.5215,0.5317
740,0.5151,0.5192,0.5027,0.5022
750,0.4447,0.4559,0.4671,0.4735
760,0.4054,0.3851,0.4446,0.4550
770,0.3673,0.3533,0.4019,0.4068
780,0.2848,0.2840,0.3361,0.3435
790,0.1611,0.1567,0.2175,0.2157
800,0.0533,0.0486,0.0772,0.0910
810,0.0124,0.0027,0.0156,0.0252
820,0.0000,0.0000,0.0000,0.0070
830,0.0018,0.0000,0.0012,0.0067
840,0.0222,0.0000,0.0000,0.0006
850,0.0103,0.0024,0.0000,0.0006
860,0.0220,0.0000,0.0000,0.0070
870,0.0165,0.0000,0.0042,0.0000
880,0.0015,0.0000,0.0000,0.0000
890,0.0009,0.0019,0.0045,0.0026
900,0.0026,0.0000,0.0000,0.0053
