WL(nm),B0,B2,B3,MIR
400,0.0007,,,
402.5,0.00085,,,
405,0.001,,,
407.5,0.00105,,,
410,0.0011,,,
412.5,0.0012,,,
415,0.0013,,,
417.5,0.0029,,,
420,0.0045,,,
422.5,0.02095,,,
425,0.0374,,,
427.5,0.09635,,,
430,0.1553,,,
432.5,0.2551,,,
435,0.3549,,,
437.5,0.45365,,,
440,0.5524,,,
442.5,0.63175,,,
445,0.7111,,,
447.5,0.7602,,,
450,0.8093,,,
452.5,0.83035,,,
455,0.8514,,,
457.5,0.8698,,,
460,0.8882,,,
462.5,0.9441,,,
465,1,,,
467.5,0.9787,,,
470,0.9574,,,
472.5,0.7493,,,
475,0.5412,,,
477.5,0.3553,,,
480,0.1694,,,
482.5,0.1083,,,
485,0.0472,,,
487.5,0.03175,,,
490,0.0163,,,
492.5,0.0116,,,
495,0.0069,,,
497.5,0.00525,,,
500,0.0036,,,
502.5,0.0028,,,
505,0.002,,,
507.5,0.0017,,,
510,0.0014,,,
512.5,0.00115,,,
515,0.0009,,,
517.5,0.00085,,,
520,0.0008,,,
522.5,0.00075,,,
525,0.0007,,,
527.5,0.00065,,,
530,0.0006,,,
532.5,0.00055,,,
535,0.0005,,,
537.5,0.00045,,,
540,0.0004,,,
542.5,0.0004,,,
545,0.0004,,,
547.5,0.00035,,,
550,0.0003,,,
552.5,,,,
555,,,,
557.5,,,,
560,,,,
562.5,,,,
565,,,,
567.5,,,,
570,,,,
572.5,,,,
575,,,,
577.5,,,,
580,,0.0006,,
582.5,,0.000625,,
585,,0.00065,,
587.5,,0.000675,,
590,,0.0007,,
592.5,,0.003275,,
595,,0.00585,,
597.5,,0.008425,,
600,,0.011,,
602.5,,0.06875,,
605,,0.1265,,
607.5,,0.18425,,
610,,0.242,,
612.5,,0.35315,,
615,,0.4643,,
617.5,,0.57545,,
620,,0.6866,,
622.5,,0.730575,,
625,,0.77455,,
627.5,,0.818525,,
630,,0.8625,,
632.5,,0.87655,,
635,,0.8906,,
637.5,,0.90465,,
640,,0.9187,,
642.5,,0.930675,,
645,,0.94265,,
647.5,,0.954625,,
650,,0.9666,,
652.5,,0.97495,,
655,,0.9833,,
657.5,,0.99165,,
660,,1,,
662.5,,0.995725,,
665,,0.99145,,
667.5,,0.987175,,
670,,0.9829,,
672.5,,0.9387,,
675,,0.8945,,
677.5,,0.8503,,
680,,0.8061,,
682.5,,0.73155,,
685,,0.657,,
687.5,,0.58245,,
690,,0.5079,,
692.5,,0.446775,,
695,,0.38565,,
697.5,,0.324525,,
700,,0.2634,0.0003,
702.5,,0.2293,0.0003,
705,,0.1952,0.0003,
707.5,,0.1611,0.0003,
710,,0.127,0.0003,
712.5,,0.10955,0.000325,
715,,0.0921,0.00035,
717.5,,0.07465,0.000375,
720,,0.0572,0.0004,
722.5,,0.049,0.000525,
725,,0.0408,0.00065,
727.5,,0.0326,0.000775,
730,,0.0244,0.0009,
732.5,,0.020775,0.001675,
735,,0.01715,0.00245,
737.5,,0.013525,0.003225,
740,,0.0099,0.004,
742.5,,0.0085,0.0082,
745,,0.0071,0.0124,
747.5,,0.0057,0.0166,
750,,0.0043,0.0208,
752.5,,0.0037,0.0361,
755,,0.0031,0.0514,
757.5,,0.0025,0.0667,
760,,0.0019,0.082,
762.5,,0.001675,0.1175,
765,,0.00145,0.153,
767.5,,0.001225,0.1885,
770,,0.001,0.224,
772.5,,0.0009,0.27745,
775,,0.0008,0.3309,
777.5,,0.0007,0.38435,
780,,0.0006,0.4378,
782.5,,,0.4906,
785,,,0.5434,
787.5,,,0.5962,
790,,,0.649,
792.5,,,0.689875,
795,,,0.73075,
797.5,,,0.771625,
800,,,0.8125,
802.5,,,0.836875,
805,,,0.86125,
807.5,,,0.885625,
810,,,0.91,
812.5,,,0.9248,
815,,,0.9396,
817.5,,,0.9544,
820,,,0.9692,
822.5,,,0.976075,
825,,,0.98295,
827.5,,,0.989825,
830,,,0.9967,
832.5,,,0.997525,
835,,,0.99835,
837.5,,,0.999175,
840,,,1,
842.5,,,0.9939,
845,,,0.9878,
847.5,,,0.9817,
850,,,0.9756,
852.5,,,0.9618,
855,,,0.948,
857.5,,,0.9342,
860,,,0.9204,
862.5,,,0.903,
865,,,0.8856,
867.5,,,0.8682,
870,,,0.8508,
872.5,,,0.82365,
875,,,0.7965,
877.5,,,0.76935,
880,,,0.7422,
882.5,,,0.69445,
885,,,0.6467,
887.5,,,0.59895,
890,,,0.5512,
892.5,,,0.491,
895,,,0.4308,
897.5,,,0.3706,
900,,,0.3104,
902.5,,,0.268125,
905,,,0.22585,
907.5,,,0.183575,
910,,,0.1413,
912.5,,,0.1213,
915,,,0.1013,
917.5,,,0.0813,
920,,,0.0613,
922.5,,,0.053,
925,,,0.0447,
927.5,,,0.0364,
930,,,0.0281,
932.5,,,0.024475,
935,,,0.02085,
937.5,,,0.017225,
940,,,0.0136,
942.5,,,0.012025,
945,,,0.01045,
947.5,,,0.008875,
950,,,0.0073,
952.5,,,0.00645,
955,,,0.0056,
957.5,,,0.00475,
960,,,0.0039,
962.5,,,0.00355,
965,,,0.0032,
967.5,,,0.00285,
970,,,0.0025,
972.5,,,0.002275,
975,,,0.00205,
977.5,,,0.001825,
980,,,0.0016,
982.5,,,0.001475,
985,,,0.00135,
987.5,,,0.001225,
990,,,0.0011,
992.5,,,0.000975,
995,,,0.00085,
997.5,,,0.000725,
1000,,,0.0006,
1002.5,,,,
1005,,,,
1007.5,,,,
1010,,,,
1012.5,,,,
1015,,,,
1017.5,,,,
1020,,,,
1022.5,,,,
1025,,,,
1027.5,,,,
1030,,,,
1032.5,,,,
1035,,,,
1037.5,,,,
1040,,,,
1042.5,,,,
1045,,,,
1047.5,,,,
1050,,,,
1052.5,,,,
1055,,,,
1057.5,,,,
1060,,,,
1062.5,,,,
1065,,,,
1067.5,,,,
1070,,,,
1072.5,,,,
1075,,,,
1077.5,,,,
1080,,,,
1082.5,,,,
1085,,,,
1087.5,,,,
1090,,,,
1092.5,,,,
1095,,,,
1097.5,,,,
1100,,,,
1102.5,,,,
1105,,,,
1107.5,,,,
1110,,,,
1112.5,,,,
1115,,,,
1117.5,,,,
1120,,,,
1122.5,,,,
1125,,,,
1127.5,,,,
1130,,,,
1132.5,,,,
1135,,,,
1137.5,,,,
1140,,,,
1142.5,,,,
1145,,,,
1147.5,,,,
1150,,,,
1152.5,,,,
1155,,,,
1157.5,,,,
1160,,,,
1162.5,,,,
1165,,,,
1167.5,,,,
1170,,,,
1172.5,,,,
1175,,,,
1177.5,,,,
1180,,,,
1182.5,,,,
1185,,,,
1187.5,,,,
1190,,,,
1192.5,,,,
1195,,,,
1197.5,,,,
1200,,,,
1202.5,,,,
1205,,,,
1207.5,,,,
1210,,,,
1212.5,,,,
1215,,,,
1217.5,,,,
1220,,,,
1222.5,,,,
1225,,,,
1227.5,,,,
1230,,,,
1232.5,,,,
1235,,,,
1237.5,,,,
1240,,,,
1242.5,,,,
1245,,,,
1247.5,,,,
1250,,,,
1252.5,,,,
1255,,,,
1257.5,,,,
1260,,,,
1262.5,,,,
1265,,,,
1267.5,,,,
1270,,,,
1272.5,,,,
1275,,,,
1277.5,,,,
1280,,,,
1282.5,,,,
1285,,,,
1287.5,,,,
1290,,,,
1292.5,,,,
1295,,,,
1297.5,,,,
1300,,,,
1302.5,,,,
1305,,,,
1307.5,,,,
1310,,,,
1312.5,,,,
1315,,,,
1317.5,,,,
1320,,,,
1322.5,,,,
1325,,,,
1327.5,,,,
1330,,,,
1332.5,,,,
1335,,,,
1337.5,,,,
1340,,,,
1342.5,,,,
1345,,,,
1347.5,,,,
1350,,,,
1352.5,,,,
1355,,,,
1357.5,,,,
1360,,,,
1362.5,,,,
1365,,,,
1367.5,,,,
1370,,,,
1372.5,,,,
1375,,,,
1377.5,,,,
1380,,,,
1382.5,,,,
1385,,,,
1387.5,,,,
1390,,,,
1392.5,,,,
1395,,,,
1397.5,,,,
1400,,,,
1402.5,,,,
1405,,,,
1407.5,,,,
1410,,,,
1412.5,,,,
1415,,,,
1417.5,,,,
1420,,,,
1422.5,,,,
1425,,,,
1427.5,,,,
1430,,,,
1432.5,,,,
1435,,,,
1437.5,,,,
1440,,,,
1442.5,,,,
1445,,,,
1447.5,,,,
1450,,,,0.0005
1452.5,,,,0.000575
1455,,,,0.00065
1457.5,,,,0.000725
1460,,,,0.0008
1462.5,,,,0.000825
1465,,,,0.00085
1467.5,,,,0.000875
1470,,,,0.0009
1472.5,,,,0.0009
1475,,,,0.0009
1477.5,,,,0.0009
1480,,,,0.0009
1482.5,,,,0.00115
1485,,,,0.0014
1487.5,,,,0.00165
1490,,,,0.0019
1492.5,,,,0.00215
1495,,,,0.0024
1497.5,,,,0.00265
1500,,,,0.0029
1502.5,,,,0.003425
1505,,,,0.00395
1507.5,,,,0.004475
1510,,,,0.005
1512.5,,,,0.006
1515,,,,0.007
1517.5,,,,0.008
1520,,,,0.009
1522.5,,,,0.010775
1525,,,,0.01255
1527.5,,,,0.014325
1530,,,,0.0161
1532.5,,,,0.0196
1535,,,,0.0231
1537.5,,,,0.0266
1540,,,,0.0301
1542.5,,,,0.037225
1545,,,,0.04435
1547.5,,,,0.051475
1550,,,,0.0586
1552.5,,,,0.0723
1555,,,,0.086
1557.5,,,,0.0997
1560,,,,0.1134
1562.5,,,,0.140125
1565,,,,0.16685
1567.5,,,,0.193575
1570,,,,0.2203
1572.5,,,,0.26685
1575,,,,0.3134
1577.5,,,,0.35995
1580,,,,0.4065
1582.5,,,,0.466425
1585,,,,0.52635
1587.5,,,,0.586275
1590,,,,0.6462
1592.5,,,,0.692875
1595,,,,0.73955
1597.5,,,,0.786225
1600,,,,0.8329
1602.5,,,,0.863025
1605,,,,0.89315
1607.5,,,,0.923275
1610,,,,0.9534
1612.5,,,,0.964375
1615,,,,0.97535
1617.5,,,,0.986325
1620,,,,0.9973
1622.5,,,,0.997975
1625,,,,0.99865
1627.5,,,,0.999325
1630,,,,1
1632.5,,,,0.998725
1635,,,,0.99745
1637.5,,,,0.996175
1640,,,,0.9949
1642.5,,,,0.991425
1645,,,,0.98795
1647.5,,,,0.984475
1650,,,,0.981
1652.5,,,,0.968675
1655,,,,0.95635
1657.5,,,,0.944025
1660,,,,0.9317
1662.5,,,,0.905525
1665,,,,0.87935
1667.5,,,,0.853175
1670,,,,0.827
1672.5,,,,0.781075
1675,,,,0.73515
1677.5,,,,0.689225
1680,,,,0.6433
1682.5,,,,0.574575
1685,,,,0.50585
1687.5,,,,0.437125
1690,,,,0.3684
1692.5,,,,0.324375
1695,,,,0.28035
1697.5,,,,0.236325
1700,,,,0.1923
1702.5,,,,0.171275
1705,,,,0.15025
1707.5,,,,0.129225
1710,,,,0.1082
1712.5,,,,0.09705
1715,,,,0.0859
1717.5,,,,0.07475
1720,,,,0.0636
1722.5,,,,0.0575
1725,,,,0.0514
1727.5,,,,0.0453
1730,,,,0.0392
1732.5,,,,0.03595
1735,,,,0.0327
1737.5,,,,0.02945
1740,,,,0.0262
1742.5,,,,0.023525
1745,,,,0.02085
1747.5,,,,0.018175
1750,,,,0.0155
1752.5,,,,0.013875
1755,,,,0.01225
1757.5,,,,0.010625
1760,,,,0.009
1762.5,,,,0.008175
1765,,,,0.00735
1767.5,,,,0.006525
1770,,,,0.0057
1772.5,,,,0.00535
1775,,,,0.005
1777.5,,,,0.00465
1780,,,,0.0043
1782.5,,,,0.003975
1785,,,,0.00365
1787.5,,,,0.003325
1790,,,,0.003
1792.5,,,,0.002625
1795,,,,0.00225
1797.5,,,,0.001875
1800,,,,0.0015
