Wavelength,1 blue,2 green,3 red,4 NIR,5 SWIR,7 SWIR,8 PAN
410,,,,,,,
411,,,,,,,
412,,,,,,,
413,,,,,,,
414,,,,,,,
415,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,,,,,,,
420,,,,,,,
421,,,,,,,
422,,,,,,,
423,,,,,,,
424,,,,,,,
425,,,,,,,
426,,,,,,,
427,,,,,,,
428,,,,,,,
429,,,,,,,
430,,,,,,,
431,,,,,,,
432,,,,,,,
433,,,,,,,
434,,,,,,,
435,0.016,,,,,,
436,0.027,,,,,,
437,0.048,,,,,,
438,0.094,,,,,,
439,0.167,,,,,,
440,0.287,,,,,,
441,0.459,,,,,,
442,0.605,,,,,,
443,0.728,,,,,,
444,0.769,,,,,,
445,0.792,,,,,,
446,0.821,,,,,,
447,0.857,,,,,,
448,0.857,,,,,,
449,0.862,,,,,,
450,0.839,,,,,,
451,0.845,,,,,,
452,0.81,,,,,,
453,0.802,,,,,,
454,0.804,,,,,,
455,0.779,,,,,,
456,0.798,,,,,,
457,0.816,,,,,,
458,0.876,,,,,,
459,0.888,,,,,,
460,0.901,,,,,,
461,0.918,,,,,,
462,0.896,,,,,,
463,0.903,,,,,,
464,0.888,,,,,,
465,0.89,,,,,,
466,0.863,,,,,,
467,0.86,,,,,,
468,0.842,,,,,,
469,0.866,,,,,,
470,0.875,,,,,,
471,0.881,,,,,,
472,0.888,,,,,,
473,0.898,,,,,,
474,0.879,,,,,,
475,0.884,,,,,,
476,0.907,,,,,,
477,0.928,,,,,,
478,0.932,,,,,,
479,0.955,,,,,,
480,0.958,,,,,,
481,0.948,,,,,,
482,0.952,,,,,,
483,0.956,,,,,,
484,0.98,,,,,,
485,0.98,,,,,,
486,0.975,,,,,,
487,0.973,,,,,,
488,0.977,,,,,,
489,0.958,,,,,,
490,0.965,,,,,,
491,0.957,,,,,,
492,0.952,,,,,,
493,0.973,,,,,,
494,0.974,,,,,,
495,0.995,,,,,,
496,0.986,,,,,,
497,0.986,,,,,,
498,0.994,,,,,,
499,1,,,,,,
500,0.99,0.0006,,,,,
501,0.99,0.0009,,,,,
502,0.976,0.001,,,,,0.001
503,0.983,0.002,,,,,0.0045
504,0.976,0.002,,,,,0.008
505,0.983,0.003,,,,,0.0175
506,0.96,0.005,,,,,0.027
507,0.973,0.009,,,,,0.0465
508,0.964,0.0145,,,,,0.066
509,0.975,0.0236,,,,,0.108
510,0.96,0.026,,,,,0.15
511,0.932,0.041,,,,,0.2195
512,0.853,0.06,,,,,0.289
513,0.684,0.088,,,,,0.368
514,0.486,0.126,,,,,0.447
515,0.293,0.174,,,,,0.5015
516,0.15,0.236,,,,,0.556
517,0.073,0.308,,,,,0.575
518,0.036,0.388,,,,,0.594
519,0.019,0.472,,,,,0.5965
520,0.009,0.552,,,,,0.599
521,,0.621,,,,,0.5995
522,,0.676,,,,,0.6
523,,0.716,,,,,0.6035
524,,0.743,,,,,0.607
525,,0.759,,,,,0.6095
526,,0.769,,,,,0.612
527,,0.779,,,,,0.6135
528,,0.79,,,,,0.615
529,,0.805,,,,,0.6125
530,,0.822,,,,,0.61
531,,0.842,,,,,0.607
532,,0.861,,,,,0.604
533,,0.878,,,,,0.603
534,,0.893,,,,,0.602
535,,0.905,,,,,0.6035
536,,0.916,,,,,0.605
537,,0.924,,,,,0.6095
538,,0.933,,,,,0.614
539,,0.942,,,,,0.6205
540,,0.947,,,,,0.627
541,,0.951,,,,,0.632
542,,0.953,,,,,0.637
543,,0.952,,,,,0.64
544,,0.951,,,,,0.643
545,,0.952,,,,,0.6445
546,,0.951,,,,,0.646
547,,0.951,,,,,0.6445
548,,0.952,,,,,0.643
549,,0.952,,,,,0.6375
550,,0.953,,,,,0.632
551,,0.951,,,,,0.6295
552,,0.95,,,,,0.627
553,,0.95,,,,,0.625
554,,0.951,,,,,0.623
555,,0.954,,,,,0.6245
556,,0.96,,,,,0.626
557,,0.966,,,,,0.63
558,,0.968,,,,,0.634
559,,0.965,,,,,0.638
560,,0.959,,,,,0.642
561,,0.951,,,,,0.6485
562,,0.944,,,,,0.655
563,,0.937,,,,,0.6635
564,,0.932,,,,,0.672
565,,0.933,,,,,0.6775
566,,0.935,,,,,0.683
567,,0.937,,,,,0.6875
568,,0.94,,,,,0.692
569,,0.945,,,,,0.6945
570,,0.951,,,,,0.697
571,,0.955,,,,,0.6985
572,,0.957,,,,,0.7
573,,0.956,,,,,0.701
574,,0.957,,,,,0.702
575,,0.955,,,,,0.705
576,,0.952,,,,,0.708
577,,0.954,,,,,0.71
578,,0.958,,,,,0.712
579,,0.963,,,,,0.7125
580,,0.973,,,,,0.713
581,,0.981,,,,,0.7145
582,,0.988,,,,,0.716
583,,0.995,,,,,0.717
584,,1,,,,,0.718
585,,1,,,,,0.718
586,,0.994,,,,,0.718
587,,0.983,,,,,0.714
588,,0.969,,,,,0.71
589,,0.954,,,,,0.7085
590,,0.942,,,,,0.707
591,,0.936,,,,,0.706
592,,0.932,,,,,0.705
593,,0.928,,,,,0.703
594,,0.924,,,,,0.701
595,,0.912,,,,,0.703
596,,0.883,,,,,0.705
597,,0.834,,,,,0.7115
598,,0.763,,,,,0.718
599,,0.674,,,,,0.724
600,,0.574,,,,,0.73
601,,0.473,,,,,0.736
602,,0.38,,,,,0.742
603,,0.3,,,,,0.746
604,,0.235,,,,,0.75
605,,0.185,,,,,0.7535
606,,0.146,,,,,0.757
607,,0.117,,,,,0.76
608,,0.094,,,,,0.763
609,,0.077,,,,,0.7635
610,,0.062,,,,,0.764
611,,0.052,,,,,0.7595
612,,0.042,,,,,0.755
613,,0.033,,,,,0.7515
614,,0.026,0.0005,,,,0.748
615,,0.021,0.0001,,,,0.745
616,,0.0158,0,,,,0.742
617,,0.01235,0.0005,,,,0.7375
618,,0.0094,0.0006,,,,0.733
619,,0.00717,0.0014,,,,0.731
620,,0.0048,0.002,,,,0.729
621,,0.0037,0.003,,,,0.7285
622,,0.0026,0.006,,,,0.728
623,,0.0017,0.013,,,,0.729
624,,0.0014,0.025,,,,0.73
625,,,0.047,,,,0.731
626,,,0.083,,,,0.732
627,,,0.137,,,,0.7325
628,,,0.211,,,,0.733
629,,,0.306,,,,0.7335
630,,,0.419,,,,0.734
631,,,0.545,,,,0.738
632,,,0.674,,,,0.742
633,,,0.788,,,,0.745
634,,,0.873,,,,0.748
635,,,0.921,,,,0.7495
636,,,0.941,,,,0.751
637,,,0.943,,,,0.753
638,,,0.942,,,,0.755
639,,,0.939,,,,0.7565
640,,,0.937,,,,0.758
641,,,0.935,,,,0.759
642,,,0.935,,,,0.76
643,,,0.938,,,,0.7635
644,,,0.943,,,,0.767
645,,,0.949,,,,0.768
646,,,0.953,,,,0.769
647,,,0.961,,,,0.771
648,,,0.968,,,,0.773
649,,,0.971,,,,0.776
650,,,0.973,,,,0.779
651,,,0.974,,,,0.78
652,,,0.972,,,,0.781
653,,,0.969,,,,0.782
654,,,0.963,,,,0.783
655,,,0.958,,,,0.785
656,,,0.956,,,,0.787
657,,,0.955,,,,0.789
658,,,0.955,,,,0.791
659,,,0.956,,,,0.792
660,,,0.962,,,,0.793
661,,,0.969,,,,0.7925
662,,,0.977,,,,0.792
663,,,0.983,,,,0.7915
664,,,0.988,,,,0.791
665,,,0.993,,,,0.7915
666,,,0.996,,,,0.792
667,,,0.997,,,,0.794
668,,,0.999,,,,0.796
669,,,1,,,,0.797
670,,,1,,,,0.798
671,,,0.998,,,,0.7995
672,,,0.996,,,,0.801
673,,,0.995,,,,0.8025
674,,,0.993,,,,0.804
675,,,0.992,,,,0.806
676,,,0.991,,,,0.808
677,,,0.989,,,,0.8115
678,,,0.988,,,,0.815
679,,,0.984,,,,0.8175
680,,,0.977,,,,0.82
681,,,0.97,,,,0.8235
682,,,0.96,,,,0.827
683,,,0.949,,,,0.828
684,,,0.94,,,,0.829
685,,,0.932,,,,0.8315
686,,,0.919,,,,0.834
687,,,0.898,,,,0.836
688,,,0.863,,,,0.838
689,,,0.809,,,,0.84
690,,,0.729,,,,0.842
691,,,0.625,,,,0.8445
692,,,0.506,,,,0.847
693,,,0.382,,,,0.85
694,,,0.272,,,,0.853
695,,,0.183,,,,0.8545
696,,,0.12,,,,0.856
697,,,0.079,,,,0.859
698,,,0.053,,,,0.862
699,,,0.036,,,,0.865
700,,,0.025,,,,0.868
701,,,0.0196,,,,0.8695
702,,,0.0142,,,,0.871
703,,,0.0101,,,,0.8735
704,,,0.0075,,,,0.876
705,,,,,,,0.8795
706,,,,,,,0.883
707,,,,,,,0.8845
708,,,,,,,0.886
709,,,,,,,0.889
710,,,,,,,0.892
711,,,,,,,0.893
712,,,,,,,0.894
713,,,,,,,0.895
714,,,,,,,0.896
715,,,,,,,0.896
716,,,,,,,0.896
717,,,,,,,0.895
718,,,,,,,0.894
