WL [nm],Blue,Green,Red,NIR
320,0,0,0,0
330,0,0,0,0
340,0,0,0,0
350,0,0,0,0
360,0,0,0,0
370,0,0,0,0
380,0,0,0,0
390,0,0,0,0
400,0,0,0,0
410,0.027,0,0,0
420,0,0,0,0
430,0,0,0,0
440,0.054,0,0,0
450,0.081,0.029,0,0
460,0.946,0.206,0.074,0
470,1,0.353,0.111,0
480,0.946,0.441,0.148,0
490,0.865,0.471,0.111,0
500,0.757,0.588,0.148,0
510,0.622,0.765,0.148,0
520,0.432,0.912,0.111,0
530,0.27,0.971,0.111,0
540,0.189,1,0.111,0
550,0.081,0.941,0.111,0
560,0.027,0.853,0.111,0
570,0.027,0.765,0.111,0
580,0,0.647,0.185,0
590,0,0.5,0.481,0
600,0,0.353,0.852,0
610,0,0.176,1,0
620,0,0.118,1,0
630,0,0.059,1,0.1
640,0,0.059,0.926,0
650,0,0.029,0.889,0
660,0.027,0.029,0.852,0
670,0.027,0.059,0.815,0
680,0.027,0.059,0.704,0
690,0.027,0.088,0.519,0.1
700,0,0,0.037,0
710,0,0,0,0
720,0,0,0,0
730,0,0,0,0
740,0,0,0,0
750,0,0,0,0
760,0,0,0,0
770,0,0,0,0.4
780,0,0,0,0.9
790,0,0,0,1
800,0,0,0,0.9
810,0,0,0,0.8
820,0,0,0,0.8
830,0,0,0,0.7
840,0,0,0,0.7
850,0,0,0,0.6
860,0,0,0,0.5
870,0,0,0,0.3
880,0,0,0,0.1
890,0,0,0,0
900,0,0,0,0
910,0,0,0,0
920,0,0,0,0
930,0,0,0,0
940,0,0,0,0
950,0,0,0,0
960,0,0,0,0
970,0,0,0,0
980,0,0,0,0
990,0,0,0,0
1000,0,0,0,0
