WL [nm],Blue,Green,Red,NIR
400,0.013,0.005,0.004,0
410,0.02,0.006,0.004,0
420,0.007,0.004,0.001,0
430,0.012,0.005,0.002,0.002
440,0.039,0.009,0.002,0
450,0.175,0.038,0.008,0.001
460,0.875,0.187,0.027,0.001
470,1,0.258,0.029,0.002
480,0.997,0.378,0.031,0.005
490,0.945,0.531,0.03,0.001
500,0.836,0.675,0.027,0.001
510,0.705,0.826,0.032,0.002
520,0.525,0.934,0.048,0.002
530,0.366,0.988,0.062,0.001
540,0.285,1,0.042,0.002
550,0.208,0.956,0.022,0.002
560,0.135,0.892,0.023,0.002
570,0.09,0.804,0.066,0.003
580,0.074,0.687,0.384,0.004
590,0.065,0.538,0.864,0.006
600,0.056,0.376,0.98,0.002
610,0.05,0.241,1,0.002
620,0.051,0.163,0.986,0.005
630,0.056,0.139,0.978,0.004
640,0.072,0.121,0.944,0.002
650,0.092,0.107,0.91,0.003
660,0.117,0.106,0.88,0.003
670,0.13,0.122,0.833,0.014
680,0.116,0.15,0.796,0.007
690,0.099,0.133,0.551,0.059
700,0.013,0.026,0.088,0.014
710,0,0.002,0.007,0.002
720,0,0,0.001,0.007
730,0,0,0,0.001
740,0,0,0,0.001
750,0,0,0,0.004
760,0,0,0,0.139
770,0,0,0,0.822
780,0,0,0,1
790,0,0,0,0.96
800,0.001,0.001,0.002,0.918
810,0.006,0.006,0.009,0.849
820,0.006,0.005,0.006,0.8
830,0.004,0.003,0.004,0.761
840,0.004,0.004,0.005,0.702
850,0.007,0.007,0.007,0.652
860,0.013,0.011,0.012,0.609
870,0.015,0.013,0.015,0.522
880,0.013,0.011,0.012,0.133
890,0.009,0.008,0.009,0.008
900,0.006,0.006,0.006,0
910,0.005,0.005,0.005,0
920,0.005,0.004,0.005,0
930,0.005,0.004,0.005,0
940,0.005,0.005,0.005,0
950,0.005,0.005,0.005,0
960,0.005,0.004,0.005,0
970,0.004,0.003,0.004,0
980,0.003,0.003,0.003,0
990,0.002,0.002,0.002,0
