WL [nm],Blue,Green,Red,NIR
400,0.004,0.004,0.001,0
410,0.004,0.004,0.001,0
420,0.004,0.004,0.001,0
430,0.005,0.004,0.001,0
440,0.01,0.005,0.001,0
450,0.473,0.1,0.019,0.002
460,0.962,0.204,0.03,0.002
470,0.995,0.246,0.029,0.001
480,1,0.368,0.032,0
490,0.942,0.514,0.031,0
500,0.829,0.656,0.028,0
510,0.712,0.814,0.031,0.001
520,0.549,0.938,0.048,0.002
530,0.377,0.993,0.067,0.001
540,0.285,1,0.049,0.001
550,0.215,0.974,0.024,0.002
560,0.145,0.915,0.021,0.002
570,0.096,0.82,0.048,0.002
580,0.077,0.711,0.283,0.001
590,0.065,0.567,0.817,0
600,0.056,0.399,0.982,0
610,0.05,0.257,1,0
620,0.049,0.171,0.98,0
630,0.053,0.145,0.979,0.001
640,0.065,0.124,0.945,0.002
650,0.084,0.11,0.919,0.003
660,0.107,0.104,0.877,0.003
670,0.123,0.114,0.833,0.003
680,0.063,0.067,0.397,0.002
690,0,0,0.001,0
700,0,0,0,0
710,0,0,0,0
720,0,0,0,0
730,0,0,0,0
740,0,0,0,0.001
750,0,0,0,0.007
760,0,0,0,0.162
770,0,0,0,0.994
780,0,0,0,1
790,0,0,0,0.924
800,0,0,0,0.869
810,0,0,0,0.814
820,0,0,0,0.759
830,0,0,0,0.711
840,0,0,0,0.656
850,0,0,0,0.604
860,0,0,0,0.557
870,0,0,0,0.239
880,0,0,0,0.004
890,0,0,0,0
900,0,0,0,0
910,0,0,0,0
920,0,0,0,0
930,0,0,0,0
940,0,0,0,0
950,0,0,0,0
960,0,0,0,0
970,0,0,0,0
980,0,0,0,0
990,0,0,0,0
