nm,pan,blue,green,red,nir
0.300,,,,,
0.305,,,,,
0.310,,,,,
0.315,,,,,
0.320,,,,,
0.325,,0.0010102,,,0.0014092
0.330,,0.0020510,,,0.0028608
0.335,,0.0031232,,,0.0043557
0.340,,0.0042264,,,0.0058950
0.345,,0.0045373,,,0.0063290
0.350,0.0014033,0.0053218,0.0030856,0.0037148,0.0060022
0.355,0.0011790,0.0040570,0.0040267,0.0024430,0.0053844
0.360,0.0011042,0.0032654,0.0021878,0.0016479,0.0035169
0.365,0.0009189,0.0027029,0.0023189,0.0019254,0.0021084
0.370,0.0011777,0.0023032,0.0014787,0.0011810,0.0024355
0.375,0.0020335,0.0012599,0.0014276,0.0010728,0.0017002
0.380,0.0068664,0.0018015,0.0008263,0.0009032,0.0022714
0.385,0.0108822,0.0022036,0.0011403,0.0009703,0.0018699
0.390,0.0167311,0.0023949,0.0012422,0.0009224,0.0016207
0.395,0.0259192,0.0025521,0.0011512,0.0013128,0.0019495
0.400,0.0361999,0.0024719,0.0012394,0.0006770,0.0018310
0.405,0.0506315,0.0029075,0.0011408,0.0012157,0.0015098
0.410,0.0669468,0.0040027,0.0011869,0.0012567,0.0014986
0.415,0.0845848,0.0065597,0.0013912,0.0013207,0.0019432
0.420,0.1031961,0.0131362,0.0018941,0.0011522,0.0017185
0.425,0.1218670,0.0283802,0.0023351,0.0009955,0.0024463
0.430,0.1449896,0.0681350,0.0028135,0.0015190,0.0025377
0.435,0.1683812,0.1551567,0.0037063,0.0020873,0.0031280
0.440,0.1895051,0.2775976,0.0055455,0.0028027,0.0040500
0.445,0.2127200,0.4312732,0.0098195,0.0030937,0.0047331
0.450,0.2198261,0.6299497,0.0178466,0.0028875,0.0047484
0.455,0.2585699,0.7240532,0.0234254,0.0028213,0.0049004
0.460,0.2752517,0.7913620,0.0300974,0.0029808,0.0041819
0.465,0.2955355,0.8438716,0.0411627,0.0034599,0.0044438
0.470,0.3153968,0.8895741,0.0596683,0.0036881,0.0047788
0.475,0.3364159,0.9177772,0.0981647,0.0031561,0.0052347
0.480,0.3456366,0.9293006,0.1566285,0.0020766,0.0055566
0.485,0.3546477,0.9601538,0.2281920,0.0021746,0.0052475
