WL(nm),Spot6 Blue,Spot6 Green,Spot6 Red,Spot6 NIR,Spot6 Pan
400,0.00006627,0.00001010,0.00001168,0.00000184,0.00007493
401,0.00006114,0.00001389,0.00001419,0.00000202,0.00008750
402,0.00005964,0.00001902,0.00001348,0.00000371,0.00009848
403,0.00006755,0.00001356,0.00000996,0.00000470,0.00010843
404,0.00007354,0.00001327,0.00001009,0.00000487,0.00011646
405,0.00007335,0.00002873,0.00001366,0.00000512,0.00012259
406,0.00007303,0.00003122,0.00003289,0.00000521,0.00012552
407,0.00006988,0.00002184,0.00001748,0.00000490,0.00012814
408,0.00006669,0.00002860,0.00002207,0.00000308,0.00013531
409,0.00006467,0.00002274,0.00002377,0.00000160,0.00015014
410,0.00008891,0.00006723,0.00002383,0.00000126,0.00017236
411,0.00010731,0.00008343,0.00002470,0.00000131,0.00019564
412,0.00006420,0.00001226,0.00001811,0.00000119,0.00021235
413,0.00008781,0.00006171,0.00001353,0.00000105,0.00022348
414,0.00008978,0.00005563,0.00001155,0.00000082,0.00022676
415,0.00008292,0.00004426,0.00001303,0.00000078,0.00022299
416,0.00008193,0.00004539,0.00001374,0.00000076,0.00021213
417,0.00005499,0.00000677,0.00001126,0.00000059,0.00020083
418,0.00008203,0.00002035,0.00000712,0.00000058,0.00019926
419,0.00011262,0.00001522,0.00000464,0.00000052,0.00021359
420,0.00009092,0.00000528,0.00000438,0.00000064,0.00025083
421,0.00010575,0.00001865,0.00000381,0.00000070,0.00030983
422,0.00013926,0.00001834,0.00000312,0.00000068,0.00038670
423,0.00016613,0.00002028,0.00000581,0.00000068,0.00047229
424,0.00019666,0.00001608,0.00000319,0.00000079,0.00056950
425,0.00019375,0.00000017,0.00000473,0.00000093,0.00067560
426,0.00021841,0.00000057,0.00000585,0.00000124,0.00078669
427,0.00033008,0.00001313,0.00000644,0.00000092,0.00090069
428,0.00059283,0.00001658,0.00000967,0.00000124,0.00103421
429,0.00096710,0.00000224,0.00000918,0.00000117,0.00131540
430,0.00120426,0.00001983,0.00000742,0.00000125,0.00169029
431,0.00143132,0.00001885,0.00001090,0.00000129,0.00228198
432,0.00190776,0.00001859,0.00001649,0.00000121,0.00312648
433,0.00246548,0.00001975,0.00002016,0.00000153,0.00417071
434,0.00314995,0.00000023,0.00001631,0.00000149,0.00533582
435,0.00393858,0.00000139,0.00001673,0.00000148,0.00661006
436,0.00502501,0.00001634,0.00001578,0.00000139,0.00802817
437,0.00693758,0.00001789,0.00001766,0.00000166,0.00960467
438,0.00995331,0.00000616,0.00002209,0.00000211,0.01132980
439,0.01395395,0.00002267,0.00003114,0.00000193,0.01334611
440,0.01816332,0.00001903,0.00003091,0.00000241,0.01609231
441,0.02248784,0.00001956,0.00001848,0.00000211,0.02038299
442,0.02806060,0.00001844,0.00003451,0.00000228,0.02732543
443,0.03582005,0.00000342,0.00003492,0.00000294,0.03802347
444,0.04774668,0.00001448,0.00004332,0.00000406,0.05294767
445,0.06795621,0.00001340,0.00004770,0.00000507,0.07167096
446,0.09842750,0.00000774,0.00004658,0.00001753,0.09348728
447,0.13108997,0.00001880,0.00004547,0.00062612,0.11872659
448,0.16221496,0.00001632,0.00004239,0.00099041,0.14830802
449,0.20486488,0.00001912,0.00005155,0.00038281,0.18269957
450,0.26488470,0.00001915,0.00005834,0.00084800,0.22269040
451,0.33784410,0.00000950,0.00006365,0.00090343,0.26906796
452,0.41558626,0.00000865,0.00005824,0.00098820,0.32263521
453,0.48567541,0.00000927,0.00004581,0.00100027,0.38325366
454,0.54882896,0.00001089,0.00003799,0.00030612,0.44824011
455,0.61466150,0.00001236,0.00003584,0.00003473,0.51559417
456,0.68475833,0.00001349,0.00003689,0.00002650,0.58258589
457,0.75228611,0.00001273,0.00003817,0.00002396,0.64645021
458,0.80736646,0.00001062,0.00003951,0.00002429,0.70236661
459,0.84246227,0.00000958,0.00004017,0.00002735,0.74583583
460,0.85754473,0.00000938,0.00003987,0.00003712,0.77585237
461,0.85841741,0.00000973,0.00003754,0.00005612,0.79433792
462,0.85407547,0.00000998,0.00003651,0.00007768,0.80499388
