nm_Band,Panchromatic,Coastal Blue,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
350,5.5340663E-06,1.9392369E-06,7.5019579E-07,4.1570837E-07,3.1214522E-07,3.122859E-07,1.3187337E-07,3.4249373E-07,2.7515674E-07
351,5.8023003E-06,2.4672989E-06,5.3731325E-07,3.5469241E-07,1.9613864E-07,2.196034E-07,1.6760843E-07,1.7166678E-07,1.0415235E-06
352,6.073528E-06,2.9966029E-06,3.2362989E-07,2.9289922E-07,7.9068775E-08,1.2693395E-07,2.0377712E-07,7.231E-12,1.8173365E-06
353,6.3059555E-06,3.6665222E-06,4.057486E-07,2.2738706E-07,8.6638033E-08,1.1559629E-07,1.720752E-07,1.1505368E-08,1.2109853E-05
354,6.5497967E-06,4.3357254E-06,4.8778037E-07,1.6193366E-07,9.419833E-08,1.0473701E-07,1.4040052E-07,2.3050938E-08,2.2395752E-05
355,6.7758568E-06,3.2731958E-06,3.042196E-07,1.3249361E-07,9.8318436E-08,6.9418112E-08,2.8159198E-07,2.4305981E-08,1.9874005E-05
356,5.8166756E-06,2.1825735E-06,1.2263946E-07,1.0270482E-07,1.024247E-07,3.4310218E-08,4.2239287E-07,2.5556959E-08,1.7379704E-05
357,4.9322783E-06,2.5771297E-06,1.8719072E-07,1.3639006E-07,9.1299982E-08,3.7976255E-08,2.8735621E-07,4.9849543E-08,6.364545E-05
358,4.0225446E-06,2.9868452E-06,2.5266176E-07,1.7167065E-07,7.9715824E-08,4.1729825E-08,1.4739215E-07,7.4782573E-08,0.0001111394
359,3.1330883E-06,2.3823274E-06,2.7445942E-07,1.6837477E-07,6.3937148E-08,6.0845513E-08,1.5955011E-07,8.03746E-08,9.3464106E-05
360,2.1846226E-06,1.7487975E-06,2.9502501E-07,1.6474556E-07,4.7188687E-08,8.0825989E-08,1.7087718E-07,8.601687E-08,7.4834976E-05
361,2.2338414E-06,2.4774412E-06,2.0377389E-07,1.2981229E-07,3.968893E-08,5.4246302E-08,1.4598339E-07,4.5018286E-08,4.227922E-05
362,2.2788466E-06,3.273669E-06,1.0206934E-07,9.0592164E-08,3.1329589E-08,2.5099509E-08,1.1694336E-07,7.744E-12,6.5114404E-06
363,2.4374378E-06,3.4223526E-06,1.7155697E-07,1.0881388E-07,4.5789926E-08,5.5782338E-08,9.4296773E-08,1.3081201E-08,3.8105236E-06
