WL [nm],PAN,BLUE,GREEN,RED,NIR
350,0.0005763,0.0002041,4.875E-05,1.512E-05,3.665E-05
351,0.0004987,0.000182,5.628E-05,3.296E-06,1.106E-05
352,0.000362,0.0002298,8.398E-05,1.222E-05,9E-08
353,0.0003961,0.0002442,0.000134,3.152E-05,2.271E-05
354,0.000378,0.000266,0.0001115,2.537E-05,2.483E-05
355,0.0003285,0.0002239,0.0001372,4.284E-05,1.483E-05
356,0.0003645,0.0002141,0.0001522,3.764E-05,8.605E-05
357,0.0003052,0.0001671,8.973E-05,3.008E-05,6.903E-05
358,0.0003436,0.000167,0.0001529,5.742E-05,1.369E-05
359,0.0002813,0.0002169,0.0001073,2.382E-05,8.1E-08
360,0.0003017,0.0001915,4.747E-05,6.547E-06,7.9E-08
361,0.0003071,0.000182,7.254E-05,4.676E-05,1.05E-05
362,0.0002567,0.000186,5.336E-05,1.497E-05,3.48E-06
363,0.0002572,0.0001608,0.0001145,8.012E-06,4.852E-05
364,0.0002708,0.0001622,9.259E-05,2.563E-06,4.623E-05
365,0.0002499,0.0001711,0.0001393,8.906E-06,6.937E-05
366,0.0002406,0.000159,0.0001176,2.83E-05,3.696E-05
367,0.0002769,0.0001737,0.0001267,3.441E-05,4.125E-05
368,0.0002528,0.0001564,0.0001711,5.53E-05,3.808E-05
369,0.0002713,0.0001642,0.0001415,2.811E-05,5.036E-05
370,0.000327,0.0001616,0.0001068,1.394E-05,1.877E-05
371,0.0004073,0.0001113,7.349E-05,2.914E-06,1.241E-05
372,0.0005164,0.0001617,8.547E-05,2.188E-06,5.617E-05
373,0.0006137,0.0001674,6.938E-05,2.384E-05,3.669E-05
374,0.0005822,0.0001746,8.83E-05,4.011E-05,1.334E-05
375,0.0005223,0.0001886,0.0001043,3.152E-05,4.617E-05
376,0.0004653,0.0001701,0.0001697,9.412E-06,7.985E-05
377,0.0004137,0.0001571,0.0002888,9.462E-06,2.474E-05
378,0.0004205,0.0001539,0.0004122,2.179E-05,1.752E-06
379,0.0004419,0.0001727,0.0003659,3.81E-05,2.379E-05
380,0.0005028,0.0001889,0.0004177,2.575E-05,4.583E-05
381,0.0004549,0.0002813,0.0003655,2.112E-05,7.997E-05
382,0.0004082,0.0005018,0.000295,1.624E-05,6.461E-05
383,0.0004032,0.0007179,0.0003196,2.895E-06,5.081E-05
384,0.0003919,0.001094,0.0002688,1.429E-05,4.483E-05
385,0.0004073,0.00164,0.0001902,1.173E-05,4.514E-05
386,0.0004362,0.002709,0.0002132,5.508E-05,3.442E-05
387,0.0004382,0.003805,0.000174,3.934E-05,1.412E-05
388,0.0004367,0.003553,0.0001191,4.348E-05,1.236E-05
389,0.0004127,0.002381,0.0001468,5.262E-05,3.607E-05
390,0.0004081,0.001701,0.0001291,5.433E-05,5.109E-05
391,0.000445,0.001586,0.0001356,0.0001901,4.873E-05
392,0.000448,0.001325,0.0001886,0.0004255,2.738E-05
393,0.0004719,0.001244,0.0001655,0.07616,3.261E-05
394,0.0004668,0.001393,0.0001463,0.4573,6.506E-05
395,0.0004213,0.001676,0.0001058,0.7053,0.0001435
396,0.0004369,0.002547,0.0001214,0.4187,0.0001562
397,0.0004346,0.004162,0.0001435,0.06873,0.0002942
398,0.0004564,0.005046,0.000165,0.002863,0.0002385
399,0.0005391,0.004822,0.0001621,0.002984,5.791E-05
400,0.0005371,0.003714,0.0001899,0.009154,4.22E-06
401,0.0006008,0.002457,0.0001612,0.01131,7.746E-06
402,0.0005514,0.001957,0.0001176,0.005694,2.662E-06
403,0.0005719,0.002148,0.0001277,0.0007261,1.925E-06
404,0.0005871,0.002273,0.0001407,8.689E-05,0.000122
405,0.0006339,0.002173,0.0001196,9.672E-05,0.0003919
406,0.0007759,0.00227,0.0001362,0.0001265,0.0006979
407,0.0008652,0.002953,0.0001568,0.0001561,0.0004272
408,0.001015,0.003738,0.0001524,8.241E-05,6.767E-05
409,0.0009758,0.00419,0.0001614,4.543E-05,2.682E-06
410,0.0009639,0.004605,0.0001836,3.659E-05,9.3E-08
411,0.0009636,0.005137,0.0001377,2.983E-05,2.724E-05
412,0.001171,0.005965,0.0001547,2.603E-05,5.409E-05
413,0.001523,0.006515,0.0001123,2.272E-05,8.163E-05
414,0.001961,0.006963,7.873E-05,4.431E-06,4.114E-05
415,0.002289,0.008126,0.0001186,1.392E-05,8.894E-06
416,0.002439,0.01101,0.0001347,3.149E-05,7.17E-07
417,0.002521,0.01569,0.0001032,2.024E-05,2.287E-05
418,0.002651,0.02,0.0001917,2.444E-05,7.556E-06
419,0.003198,0.0218,0.0001758,5.577E-05,6.6E-07
420,0.004174,0.02245,0.0001535,6.194E-05,0.0001335
421,0.005807,0.02381,0.0001402,6.694E-05,4.757E-05
422,0.007841,0.02739,0.0001913,4.701E-05,3.909E-05
423,0.00923,0.03238,0.0001934,2.042E-05,2.807E-05
424,0.01003,0.03836,0.0001607,1.454E-05,1.689E-05
425,0.01056,0.04884,0.0001393,1.77E-05,0.0001203
426,0.01199,0.06749,0.0001681,2.867E-05,6.464E-05
427,0.0153,0.09963,0.0001585,1.827E-05,0.0001178
428,0.02254,0.1546,0.0001624,8.908E-06,5.969E-05
429,0.03454,0.2484,0.0001736,2.645E-05,4.891E-05
430,0.04962,0.4051,0.0001747,2.052E-05,8.498E-05
431,0.06355,0.6316,0.0001926,3.839E-05,6.492E-05
432,0.07264,0.9175,0.0002212,8.995E-05,0.001926
433,0.07993,1.237,0.000211,0.000198,0.005688
434,0.09349,1.567,0.0001636,0.002758,0.00696
435,0.1245,1.975,0.0001686,0.01066,0.003462
436,0.1887,2.556,0.0001207,0.02567,0.0008983
437,0.3089,3.471,0.0001512,0.03198,0.0005841
438,0.4913,5.124,0.0001723,0.01875,0.0003187
439,0.7087,8.142,0.0002105,0.00474,0.0002103
440,0.9077,22.2,0.0002021,0.0006286,0.0001013
441,1.104,46.69,0.0002731,0.000771,3.905E-05
442,1.392,96.2,0.0002333,0.01673,0.0001223
443,1.957,147.7,0.0002731,0.03827,0.0002112
444,11.62,254.1,0.0002767,0.03285,0.0003739
445,27.19,363.4,0.0002327,0.01049,0.0009809
446,48.5,484.6,0.00018,0.0005606,0.001336
447,60.29,606.3,0.0002104,0.0004416,0.001834
448,72.67,715.2,0.0002026,0.004894,0.002209
449,93.75,823.6,0.0002299,0.01479,0.001626
450,173.1,847.6,0.0002037,0.01773,0.0008271
451,252.5,868.6,0.0003173,0.007718,0.0003815
452,331.9,846.7,0.0004248,0.0004897,0.0001742
453,411.2,823.4,0.0004155,7.506E-05,0.0001785
454,485.1,832.5,0.0003887,0.0001114,0.0001527
455,532.6,842.5,0.000336,0.0003095,0.0002007
456,580,854.8,0.0002614,0.000356,0.0003836
457,627.4,867.1,0.0002455,0.000274,0.0003164
458,674.9,882.4,0.0002215,0.0004148,0.0007192
459,715.2,897.6,0.0002303,0.003515,0.002223
460,724.4,900.6,0.000297,0.00639,0.005117
461,733.6,903.4,0.0003012,0.004423,0.006967
462,742.8,905.9,0.0004279,0.001319,0.00571
463,752,908.5,0.0005486,0.0003048,0.002776
464,757.6,906.9,0.0006123,0.0003256,0.001323
465,748.4,905.2,0.0006596,0.0006955,0.0007154
466,739.2,902.4,0.0006253,0.004499,0.000551
467,730,899.7,0.000533,0.01842,0.0004366
468,720.8,909.4,0.0005044,0.02557,0.0006495
469,716.7,919,0.0004728,0.01203,0.00126
470,730.9,921.4,0.0004719,0.000828,0.004618
471,745.2,923.8,0.000487,0.0002332,0.01377
472,759.5,926.4,0.0005671,0.0004469,0.02261
473,773.7,929.1,0.0006254,0.006767,0.01448
474,784.3,932.7,0.0007106,0.05723,0.005835
475,782.6,936.3,0.001014,0.1027,0.002927
476,780.9,938.9,0.001382,0.0605,0.003298
477,779.2,941.5,0.001903,0.008281,0.007885
478,777.5,945.6,0.002642,8.214E-05,0.02363
479,777.2,949.4,0.003387,4.439E-05,0.03289
480,781.3,944.9,0.004052,1.578E-05,0.01972
481,785.4,940.6,0.0045,3.17E-05,0.004252
482,789.5,938.2,0.004777,6.194E-05,0.000854
483,793.5,936.1,0.005161,5.188E-05,0.0004738
484,796.1,940,0.00556,8.098E-05,0.0003834
485,794.5,943.7,0.006303,4.585E-05,0.001122
486,792.8,945.7,0.00735,1.51E-05,0.003275
487,791.2,947.8,0.009154,2.402E-05,0.004051
488,789.5,951.1,0.01215,4.196E-05,0.001929
489,788.5,954.1,0.01701,2.387E-05,5.439E-05
490,789.3,954.3,0.02497,3.457E-05,5.064E-06
491,790,954.5,0.03846,5.21E-05,1.06E-07
492,790.8,954.7,0.06204,3.689E-05,1.4E-06
493,791.6,955.4,0.1011,3.233E-05,2.081E-05
494,792.5,962.9,0.1662,3.185E-05,4.456E-05
495,793.9,970.3,0.2668,4.175E-05,3.442E-05
496,795.2,976.7,0.4175,6.276E-05,0.0001043
497,796.6,983.1,0.6382,5.597E-05,2.828E-05
498,798,987.9,0.9534,4.524E-05,1.882E-05
499,799.5,992.6,1.441,3.764E-05,3.073E-05
500,801.4,996.9,2.244,4.171E-05,0.00014
501,803.3,1000,3.67,2.564E-05,3.487E-05
502,805.2,992.2,8.529,2.424E-05,4.234E-05
503,807.1,981.6,22.87,2.185E-05,5.019E-05
504,807.9,944,59.49,2.76E-05,2.774E-05
505,806.1,900.2,107.2,5.895E-05,0.0001234
506,804.4,798.7,273.8,4.311E-05,0.0001923
507,802.7,693,441.7,4.732E-05,9.588E-05
508,801,551.2,620.7,3.575E-05,0.000145
509,799.2,413.3,783,4.184E-05,0.0001158
510,797.5,307.2,808.4,4.535E-05,2.463E-05
511,795.7,206.8,831.5,5.214E-05,6.188E-05
512,794,150.9,837.4,0.000183,1.137E-05
513,792.3,98.59,842.6,0.00101,3.007E-05
514,792.6,72.58,843.5,0.001581,2.81E-05
