X,Y,Z,Intensity,Classification,PointSourceId,NumberOfReturns,ReturnNumber,CellID
1,1,1,10,2,1,1,1,0
2,1,1,12,2,1,2,2,0
3,1,2,9,2,1,2,1,0
4,1,1,11,3,1,1,1,0
5,1,2,12,2,1,1,1,0
2,2,2,10,2,1,2,1,0
4,2,1,11,3,1,1,1,0
5,2,2,10,2,1,3,3,0
13,1,5,80,5,1,4,2,2
13,5,2,10,2,2,1,1,2
17,1,2,11,2,1,1,1,2
2,7,3,15,2,1,1,1,3
3,7,2,9,2,1,1,1,3
4,7,2,11,2,1,1,1,3
1,8,3,10,2,1,1,1,3
2,8,2,11,2,1,1,1,3
3,8,2,10,2,1,1,1,3
4,8,2,10,2,1,1,1,3
5,8,2,11,2,1,1,1,3
1,9,20,50,4,1,1,1,3
2,9,2,10,2,1,1,1,3
3,9,3,11,2,1,1,1,3
4,9,3,12,2,1,1,1,3
5,9,3,11,2,1,1,1,3
1,10,2,10,2,1,1,1,3
2,10,2,10,2,1,1,1,3
3,10,3,11,2,1,1,1,3
4,10,3,12,2,1,1,1,3
5,10,3,9,2,1,1,1,3
2,11,2,11,2,1,1,1,3
3,11,3,12,2,1,1,1,3
4,11,2,10,2,1,1,1,3
7,7,2,11,2,1,1,1,4
7,7,15,55,5,1,3,3,4
7,7,9,45,4,1,3,2,4
11,7,3,11,2,2,1,1,4
7,11,2,12,2,1,1,1,4
11,11,2,10,2,2,1,1,4
15,8,2,11,2,2,1,1,5
14,9,2,9,2,1,1,1,5
16,9,2,11,2,2,1,1,5
15,10,2,10,2,2,1,1,5
4,14,3,11,2,1,1,1,6
10,13,9,67,4,2,2,1,7
9,14,23,78,5,1,3,1,7
8,15,19,69,5,1,3,2,7
9,16,25,88,5,2,3,3,7
8,17,18,65,4,1,3,3,7
11,17,28,83,5,2,1,1,7
16,14,3,9,2,2,1,1,8
13,15,2,11,2,2,1,1,8
15,15,15,51,4,2,2,2,8
15,17,3,12,2,2,1,1,8
