"WL(nm)","B-CCD4_reflection","B-CCD4_reflect","B-CCD5_transmit","B-CCD5_transmit"
450,0.0119,0.0205,0.0290,0.0310
460,0.0049,0.0242,0.0047,-0.0096
470,0.0000,0.0072,0.0195,0.0131
480,0.0332,0.0447,0.0180,0.0147
490,0.2766,0.2795,0.0818,0.0946
500,0.7187,0.7312,0.4235,0.4459
510,0.9060,0.9032,0.7358,0.7333
520,0.9034,0.8984,0.7930,0.7929
530,0.8735,0.8638,0.8937,0.8824
540,0.8844,0.8897,0.9628,0.9523
550,0.9489,0.9628,1.0000,1.0000
560,1.0000,1.0000,0.8963,0.8954
570,0.8664,0.8679,0.8963,0.8954
580,0.8416,0.8355,0.8535,0.8519
590,0.8015,0.8056,0.8225,0.8298
600,0.8145,0.8148,0.8688,0.8786
610,0.8235,0.8248,0.8627,0.8702
620,0.8316,0.8400,0.8495,0.8474
630,0.7742,0.7839,0.7685,0.7629
640,0.7277,0.7326,0.7087,0.7087
650,0.6568,0.6580,0.6333,0.6323
660,0.6322,0.6245,0.6071,0.6053
670,0.5910,0.5917,0.5885,0.5875
680,0.6065,0.6105,0.6135,0.6111
690,0.6210,0.6358,0.6243,0.6251
700,0.6226,0.6380,0.5857,0.5852
710,0.5942,0.6036,0.5526,0.5472
720,0.5357,0.5403,0.5023,0.5011
730,0.4770,0.4827,0.4407,0.4418
740,0.4072,0.4126,0.3974,0.3969
750,0.3510,0.3558,0.3459,0.3420
760,0.3271,0.3300,0.3290,0.3250
770,0.2954,0.3007,0.2784,0.2791
780,0.1935,0.2014,0.1987,0.1976
790,0.0853,0.0912,0.0868,0.0913
800,0.0214,0.0280,0.0291,0.0274
810,0.0067,0.0123,0.0104,0.0086
820,0.0002,0.0078,0.0058,0.0072
830,0.0044,0.0060,0.0017,0.0036
840,0.0000,0.0042,0.0014,0.0032
850,0.0030,0.0038,0.0020,0.0031
860,0.0005,0.0033,0.0002,0.0029
870,0.0000,0.0049,0.0020,0.0009
880,0.0019,0.0020,0.0005,0.0024
890,0.0014,0.0038,0.0017,0.0037
900,0.0000,0.0035,0.0015,0.0025
