WL(nm),B0,B2,B3,MIR
400,0.000128,,,
402.5,0.000328,,,
405,0.000528,,,
407.5,0.000728,,,
410,0.000992,,,
412.5,0.001292,,,
415,0.002808,,,
417.5,0.005008,,,
420,0.018248,,,
422.5,0.037698,,,
425,0.08278,,,
427.5,0.14228,,,
430,0.223444,,,
432.5,0.316794,,,
435,0.410816,,,
437.5,0.505216,,,
440,0.592544,,,
442.5,0.675894,,,
445,0.750892,,,
447.5,0.821192,,,
450,0.881476,,,
452.5,0.936126,,,
455,0.969944,,,
457.5,0.992044,,,
460,0.990656,,,
462.5,0.976056,,,
465,0.952848,,,
467.5,0.924798,,,
470,0.881132,,,
472.5,0.828682,,,
475,0.722344,,,
477.5,0.585694,,,
480,0.43938,,,
482.5,0.28763,,,
485,0.182024,,,
487.5,0.102374,,,
490,0.05786,,,
492.5,0.03311,,,
495,0.019624,,,
497.5,0.012474,,,
500,8.8633101E-017,,,
502.5,,,,
505,,,,
507.5,,,,
510,,,,
512.5,,,,
515,,,,
517.5,,,,
520,,,,
522.5,,,,
525,,,,
527.5,,,,
530,,,,
532.5,,,,
535,,,,
537.5,,,,
540,,,,
542.5,,,,
545,,,,
547.5,,,,
550,,,,
552.5,,,,
555,,,,
557.5,,,,
560,,,,
562.5,,,,
565,,,,
567.5,,,,
570,,,,
572.5,,,,
575,,,,
577.5,,,,
580,,0.0017,,
582.5,,0.001675,,
585,,0.00165,,
587.5,,0.001625,,
590,,0.0016,,
592.5,,0.00235,,
595,,0.0031,,
597.5,,0.00385,,
600,,0.0046,,
602.5,,0.0439,,
605,,0.0832,,
607.5,,0.1225,,
610,,0.1618,,
612.5,,0.2737,,
615,,0.3856,,
617.5,,0.4975,,
620,,0.6094,,
622.5,,0.6615,,
625,,0.7136,,
627.5,,0.7657,,
630,,0.8178,,
632.5,,0.827775,,
635,,0.83775,,
637.5,,0.847725,,
640,,0.8577,,
642.5,,0.8673,,
645,,0.8769,,
647.5,,0.8865,,
650,,0.8961,,
652.5,,0.908775,,
655,,0.92145,,
657.5,,0.934125,,
660,,0.9468,,
662.5,,0.9595,,
665,,0.9722,,
667.5,,0.9849,,
670,,0.9976,,
672.5,,0.989525,,
675,,0.98145,,
677.5,,0.973375,,
680,,0.9653,,
682.5,,0.9169,,
685,,0.8685,,
687.5,,0.8201,,
690,,0.7717,,
692.5,,0.698875,,
695,,0.62605,,
697.5,,0.553225,,
700,,0.4804,0.0007,
702.5,,0.424275,0.000775,
705,,0.36815,0.00085,
707.5,,0.312025,0.000925,
710,,0.2559,0.001,
712.5,,0.2229,0.001125,
715,,0.1899,0.00125,
717.5,,0.1569,0.001375,
720,,0.1239,0.0015,
722.5,,0.106325,0.001875,
725,,0.08875,0.00225,
727.5,,0.071175,0.002625,
730,,0.0536,0.003,
732.5,,0.045375,0.005075,
735,,0.03715,0.00715,
737.5,,0.028925,0.009225,
740,,0.0207,0.0113,
742.5,,0.0175,0.02105,
745,,0.0143,0.0308,
747.5,,0.0111,0.04055,
750,,0.0079,0.0503,
752.5,,0.006925,0.080575,
755,,0.00595,0.11085,
757.5,,0.004975,0.141125,
760,,0.004,0.1714,
762.5,,0.003375,0.2271,
765,,0.00275,0.2828,
767.5,,0.002125,0.3385,
770,,0.0015,0.3942,
772.5,,0.0015,0.458425,
775,,0.0015,0.52265,
777.5,,0.0015,0.586875,
780,,0.0015,0.6511,
782.5,,4.2632564E-017,0.6966,
785,,,0.7421,
787.5,,,0.7876,
790,,,0.8331,
792.5,,,0.8607,
795,,,0.8883,
797.5,,,0.9159,
800,,,0.9435,
802.5,,,0.955175,
805,,,0.96685,
807.5,,,0.978525,
810,,,0.9902,
812.5,,,0.99265,
815,,,0.9951,
817.5,,,0.99755,
820,,,1,
822.5,,,0.99985,
825,,,0.9997,
827.5,,,0.99955,
830,,,0.9994,
832.5,,,0.9984,
835,,,0.9974,
837.5,,,0.9964,
840,,,0.9954,
842.5,,,0.9927,
845,,,0.99,
847.5,,,0.9873,
850,,,0.9846,
852.5,,,0.9766,
855,,,0.9686,
857.5,,,0.9606,
860,,,0.9526,
862.5,,,0.944525,
865,,,0.93645,
867.5,,,0.928375,
870,,,0.9203,
872.5,,,0.9008,
875,,,0.8813,
877.5,,,0.8618,
880,,,0.8423,
882.5,,,0.789675,
885,,,0.73705,
887.5,,,0.684425,
890,,,0.6318,
892.5,,,0.55835,
895,,,0.4849,
897.5,,,0.41145,
900,,,0.338,
902.5,,,0.28935,
905,,,0.2407,
907.5,,,0.19205,
910,,,0.1434,
912.5,,,0.1222,
915,,,0.101,
917.5,,,0.0798,
920,,,0.0586,
922.5,,,0.05055,
925,,,0.0425,
927.5,,,0.03445,
930,,,0.0264,
932.5,,,0.0229,
935,,,0.0194,
937.5,,,0.0159,
940,,,0.0124,
942.5,,,0.0111,
945,,,0.0098,
947.5,,,0.0085,
950,,,0.0072,
952.5,,,0.00645,
955,,,0.0057,
957.5,,,0.00495,
960,,,0.0042,
962.5,,,0.003825,
965,,,0.00345,
967.5,,,0.003075,
970,,,0.0027,
972.5,,,0.002375,
975,,,0.00205,
977.5,,,0.001725,
980,,,0.0014,
982.5,,,0.001375,
985,,,0.00135,
987.5,,,0.001325,
990,,,0.0013,
992.5,,,0.001275,
995,,,0.00125,
997.5,,,0.001225,
1000,,,0.0012,
1002.5,,,0.001175,
1005,,,0.00115,
1007.5,,,0.001125,
1010,,,0.0011,
1012.5,,,0.001025,
1015,,,0.00095,
1017.5,,,0.000875,
1020,,,0.0008,
1022.5,,,0.000725,
1025,,,0.00065,
1027.5,,,0.000575,
1030,,,0.0005,
1032.5,,,,
1035,,,,
1037.5,,,,
1040,,,,
1042.5,,,,
1045,,,,
1047.5,,,,
1050,,,,
1052.5,,,,
1055,,,,
1057.5,,,,
1060,,,,
1062.5,,,,
1065,,,,
1067.5,,,,
1070,,,,
1072.5,,,,
1075,,,,
1077.5,,,,
1080,,,,
1082.5,,,,
1085,,,,
1087.5,,,,
1090,,,,
1092.5,,,,
1095,,,,
1097.5,,,,
1100,,,,
1102.5,,,,
1105,,,,
1107.5,,,,
1110,,,,
1112.5,,,,
1115,,,,
1117.5,,,,
1120,,,,
1122.5,,,,
1125,,,,
1127.5,,,,
1130,,,,
1132.5,,,,
1135,,,,
1137.5,,,,
1140,,,,
1142.5,,,,
1145,,,,
1147.5,,,,
1150,,,,
1152.5,,,,
1155,,,,
1157.5,,,,
1160,,,,
1162.5,,,,
1165,,,,
1167.5,,,,
1170,,,,
1172.5,,,,
1175,,,,
1177.5,,,,
1180,,,,
1182.5,,,,
1185,,,,
1187.5,,,,
1190,,,,
1192.5,,,,
1195,,,,
1197.5,,,,
1200,,,,
1202.5,,,,
1205,,,,
1207.5,,,,
1210,,,,
1212.5,,,,
1215,,,,
1217.5,,,,
1220,,,,
1222.5,,,,
1225,,,,
1227.5,,,,
1230,,,,
1232.5,,,,
1235,,,,
1237.5,,,,
1240,,,,
1242.5,,,,
1245,,,,
1247.5,,,,
1250,,,,
1252.5,,,,
1255,,,,
1257.5,,,,
1260,,,,
1262.5,,,,
1265,,,,
1267.5,,,,
1270,,,,
1272.5,,,,
1275,,,,
1277.5,,,,
1280,,,,
1282.5,,,,
1285,,,,
1287.5,,,,
1290,,,,
1292.5,,,,
1295,,,,
1297.5,,,,
1300,,,,
1302.5,,,,
1305,,,,
1307.5,,,,
1310,,,,
1312.5,,,,
1315,,,,
1317.5,,,,
1320,,,,
1322.5,,,,
1325,,,,
1327.5,,,,
1330,,,,
1332.5,,,,
1335,,,,
1337.5,,,,
1340,,,,
1342.5,,,,
1345,,,,
1347.5,,,,
1350,,,,
1352.5,,,,
1355,,,,
1357.5,,,,
1360,,,,
1362.5,,,,
1365,,,,
1367.5,,,,
1370,,,,
1372.5,,,,
1375,,,,
1377.5,,,,
1380,,,,
1382.5,,,,
1385,,,,
1387.5,,,,
1390,,,,
1392.5,,,,
1395,,,,
1397.5,,,,
1400,,,,
1402.5,,,,
1405,,,,
1407.5,,,,
1410,,,,
1412.5,,,,
1415,,,,
1417.5,,,,
1420,,,,
1422.5,,,,
1425,,,,
1427.5,,,,
1430,,,,
1432.5,,,,
1435,,,,
1437.5,,,,
1440,,,,
1442.5,,,,
1445,,,,
1447.5,,,,
1450,,,,0.001
1452.5,,,,0.001
1455,,,,0.001
1457.5,,,,0.001
1460,,,,0.001
1462.5,,,,0.001075
1465,,,,0.00115
1467.5,,,,0.001225
1470,,,,0.0013
1472.5,,,,0.001375
1475,,,,0.00145
1477.5,,,,0.001525
1480,,,,0.0016
1482.5,,,,0.00165
1485,,,,0.0017
1487.5,,,,0.00175
1490,,,,0.0018
1492.5,,,,0.00195
1495,,,,0.0021
1497.5,,,,0.00225
1500,,,,0.0024
1502.5,,,,0.0026
1505,,,,0.0028
1507.5,,,,0.003
1510,,,,0.0032
1512.5,,,,0.0035
1515,,,,0.0038
1517.5,,,,0.0041
1520,,,,0.0044
1522.5,,,,0.00495
1525,,,,0.0055
1527.5,,,,0.00605
1530,,,,0.0066
1532.5,,,,0.007475
1535,,,,0.00835
1537.5,,,,0.009225
1540,,,,0.0101
1542.5,,,,0.01185
1545,,,,0.0136
1547.5,,,,0.01535
1550,,,,0.0171
1552.5,,,,0.0203
1555,,,,0.0235
1557.5,,,,0.0267
1560,,,,0.0299
1562.5,,,,0.036625
1565,,,,0.04335
1567.5,,,,0.050075
1570,,,,0.0568
1572.5,,,,0.070825
1575,,,,0.08485
1577.5,,,,0.098875
1580,,,,0.1129
1582.5,,,,0.14065
1585,,,,0.1684
1587.5,,,,0.19615
1590,,,,0.2239
1592.5,,,,0.26905
1595,,,,0.3142
1597.5,,,,0.35935
1600,,,,0.4045
1602.5,,,,0.46765
1605,,,,0.5308
