WL(nm),spot7 blue,spot7 green,spot7 red,spot7 nir,spot7 pan
400,0.00006339,0,0.0000632,0.00001267,0.0000614
401,0.00007601,0,0.00010371,0.00001122,0.00006949
402,0.00009439,0,0.00009545,0.00002503,0.00007878
403,0.00009096,0.00000001,0.00012003,0.00002283,0.00006506
404,0.00010909,0.00000007,0.00012476,0.00002297,0.0000705
405,0.00012428,0.00000506,0.00014321,0.0000459,0.00007173
406,0.00011608,0.00000464,0.00018034,0.00006991,0.00009676
407,0.00013596,0.00000155,0.00017134,0.00010366,0.00009362
408,0.00013952,0.00000778,0.00016149,0.00014892,0.00011507
409,0.00012869,0.00000452,0.00018653,0.00020522,0.00012104
410,0.0001414,0.00000528,0.00018619,0.00025643,0.00009497
411,0.00014044,0.00001028,0.00019005,0.00032863,0.0001272
412,0.00011708,0.00000939,0.00020223,0.00036761,0.00011392
413,0.00013714,0.00000918,0.00023951,0.00041088,0.00010699
414,0.00012789,0.00001501,0.00036206,0.00045283,0.00009635
415,0.00010549,0.00001601,0.00059261,0.00047719,0.0000475
416,0.0001122,0.00002442,0.00125276,0.00047829,0.0000895
417,0.00010262,0.00003479,0.00264473,0.00048262,0.00006844
418,0.00008451,0.000029,0.00402282,0.00045855,0.00008622
419,0.00008965,0.00002927,0.00476653,0.00044306,0.00010848
420,0.00008507,0.00003202,0.00589783,0.00042909,0.0000811
421,0.0000816,0.00002387,0.00610515,0.00041441,0.00011289
422,0.00009335,0.00003035,0.0063058,0.00039809,0.00011431
423,0.00009356,0.00003179,0.00655727,0.00038028,0.00011988
424,0.00008852,0.00002613,0.00536854,0.00036199,0.00014019
425,0.00009869,0.00002117,0.00404069,0.00034658,0.00012502
426,0.00009804,0.0000132,0.00238321,0.00034581,0.00016775
427,0.00009697,0.00001087,0.00097641,0.0003455,0.0001822
428,0.00011365,0.00001594,0.00080131,0.00033471,0.00023044
429,0.00010774,0.00001326,0.00095283,0.00034462,0.00023593
430,0.00010962,0.00001122,0.00126771,0.00036181,0.00027821
431,0.00015544,0.00000527,0.00141992,0.00039838,0.00031464
432,0.00020375,0.00000002,0.00148717,0.00048095,0.0004076
433,0.00028416,0,0.00165306,0.00057156,0.00047925
434,0.00034088,0,0.00152725,0.00066588,0.00061229
435,0.0004141,0,0.00130457,0.0007661,0.00081992
436,0.00051353,0,0.00111265,0.00084293,0.00120804
437,0.00064039,0,0.00087685,0.00091037,0.0019211
438,0.0008298,0,0.00085244,0.00095198,0.00322706
439,0.00109199,0,0.0009423,0.00092989,0.00587885
440,0.00142993,0,0.00106398,0.00090072,0.00890966
441,0.00191334,0,0.0011861,0.00086771,0.01371239
442,0.00282975,0,0.00128642,0.00081496,0.0221688
443,0.00436725,0,0.00130576,0.00076088,0.03636501
444,0.00753585,0,0.00125655,0.00071815,0.05831502
