svn_name,github_name
1gray,1gray
aghisla,aghisla
benjamin,benducke
benducke,benducke
bernhard,bernhardreiter
cnielsen,cdwren
pvanbosgeo,ecodiv
radim,blazek
barton,cmbarton
cmbarton,cmbarton
michael,cmbarton
mic,zwischenloesung
maciej,czka
msieczka,czka
clements,glynnc
glynn,glynnc
hamish,HamishB
hellik,hellik
helena,hmitaso
soeren,huhabla
huhabla,huhabla
cho,HuidaeCho
hcho,HuidaeCho
jachym,jachym
cepicky,jachym
william,kyngchaos
kyngchaos,kyngchaos
landa,landam
martinl,landam
ltoma,lauratoma
lucadelu,lucadelu
madi,madi
mmetz,metzm
mlennert,mlennert
moritz,mlennert
markus,neteler
neteler,neteler
nikosa,NikosAlexandris
sbl,ninsbl
turek,ostepok
paulo,paulomarcondes
annakrat,petrasovaa
rantolin,rantolin
robertoa,rantolin
sholl,sholl
stephan,sholl
veroandreo,veroandreo
frankw,warmerdam
warmerdam,warmerdam
wenzeslaus,wenzeslaus
chemin,YannChemin
ychemin,YannChemin
zarch,zarch
ullah,isaacullah
isaacullah,isaacullah
