Distance,F-value
0.000000,0.038647
267.884649,0.454106
535.769298,0.729469
803.653948,0.874396
1071.538597,0.908213
1339.423246,0.946860
1607.307895,0.966184
1875.192544,0.971014
2143.077193,0.971014
2410.961843,0.971014
2678.846492,0.975845
2946.731141,0.975845
3214.615790,0.985507
3482.500439,0.995169
3750.385089,0.995169
4018.269738,0.995169
4286.154387,1.000000
4554.039036,1.000000
4821.923685,1.000000
5089.808334,1.000000
5357.692984,1.000000
5625.577633,1.000000
5893.462282,1.000000
6161.346931,1.000000
6429.231580,1.000000
6697.116230,1.000000
6965.000879,1.000000
7232.885528,1.000000
7500.770177,1.000000
7768.654826,1.000000
8036.539475,1.000000
8304.424125,1.000000
8572.308774,1.000000
8840.193423,1.000000
9108.078072,1.000000
9375.962721,1.000000
9643.847371,1.000000
9911.732020,1.000000
10179.616669,1.000000
10447.501318,1.000000
10715.385967,1.000000
10983.270616,1.000000
11251.155266,1.000000
11519.039915,1.000000
11786.924564,1.000000
12054.809213,1.000000
12322.693862,1.000000
12590.578512,1.000000
12858.463161,1.000000
13126.347810,1.000000
13394.232459,1.000000
13662.117108,1.000000
13930.001757,1.000000
14197.886407,1.000000
14465.771056,1.000000
14733.655705,1.000000
15001.540354,1.000000
15269.425003,1.000000
15537.309653,1.000000
15805.194302,1.000000
16073.078951,1.000000
16340.963600,1.000000
16608.848249,1.000000
16876.732898,1.000000
17144.617548,1.000000
17412.502197,1.000000
17680.386846,1.000000
17948.271495,1.000000
18216.156144,1.000000
18484.040794,1.000000
18751.925443,1.000000
19019.810092,1.000000
19287.694741,1.000000
19555.579390,1.000000
19823.464039,1.000000
20091.348689,1.000000
20359.233338,1.000000
20627.117987,1.000000
20895.002636,1.000000
21162.887285,1.000000
21430.771935,1.000000
21698.656584,1.000000
21966.541233,1.000000
22234.425882,1.000000
22502.310531,1.000000
22770.195180,1.000000
23038.079830,1.000000
23305.964479,1.000000
23573.849128,1.000000
23841.733777,1.000000
24109.618426,1.000000
24377.503076,1.000000
24645.387725,1.000000
24913.272374,1.000000
25181.157023,1.000000
25449.041672,1.000000
25716.926321,1.000000
25984.810971,1.000000
26252.695620,1.000000
26520.580269,1.000000
26788.464918,1.000000
