Distance,K-value
0.000000,-0.004761
267.884649,-0.000797
535.769298,0.009310
803.653948,0.021528
1071.538597,0.038296
1339.423246,0.056001
1607.307895,0.076497
1875.192544,0.101168
2143.077193,0.128676
2410.961843,0.158670
2678.846492,0.188734
2946.731141,0.216547
3214.615790,0.245509
3482.500439,0.272220
3750.385089,0.302214
4018.269738,0.328878
4286.154387,0.354861
4554.039036,0.380447
4821.923685,0.404062
5089.808334,0.427419
5357.692984,0.449791
5625.577633,0.475799
5893.462282,0.498687
6161.346931,0.523709
6429.231580,0.549951
6697.116230,0.571784
6965.000879,0.594344
7232.885528,0.615590
7500.770177,0.637658
7768.654826,0.659326
8036.539475,0.679823
8304.424125,0.697880
8572.308774,0.714390
8840.193423,0.728906
9108.078072,0.744735
9375.962721,0.761667
9643.847371,0.778857
9911.732020,0.792716
10179.616669,0.807959
10447.501318,0.820951
10715.385967,0.833568
10983.270616,0.844918
11251.155266,0.855354
11519.039915,0.865719
11786.924564,0.876038
12054.809213,0.883894
12322.693862,0.891726
12590.578512,0.898293
12858.463161,0.905047
13126.347810,0.911050
13394.232459,0.916397
13662.117108,0.921978
13930.001757,0.926622
14197.886407,0.930796
14465.771056,0.934337
14733.655705,0.937784
15001.540354,0.941513
15269.425003,0.944843
15537.309653,0.947798
15805.194302,0.950847
16073.078951,0.953051
16340.963600,0.954810
16608.848249,0.956639
16876.732898,0.958515
17144.617548,0.960227
17412.502197,0.961962
17680.386846,0.962854
17948.271495,0.963510
18216.156144,0.964612
18484.040794,0.965691
18751.925443,0.966137
19019.810092,0.966887
19287.694741,0.967825
19555.579390,0.968388
19823.464039,0.969396
20091.348689,0.969772
20359.233338,0.970663
20627.117987,0.971179
20895.002636,0.972046
21162.887285,0.972726
21430.771935,0.973195
21698.656584,0.973711
21966.541233,0.973899
22234.425882,0.974087
22502.310531,0.974415
22770.195180,0.974415
23038.079830,0.974603
23305.964479,0.974696
23573.849128,0.974767
23841.733777,0.974907
24109.618426,0.974907
24377.503076,0.975165
24645.387725,0.975306
24913.272374,0.975400
25181.157023,0.975494
25449.041672,0.975587
25716.926321,0.975634
25984.810971,0.975634
26252.695620,0.975728
26520.580269,0.975728
26788.464918,0.975775
