Distance,L-value
0.000000,0.007728
267.884649,0.036656
535.769298,0.068030
803.653948,0.092733
1071.538597,0.118464
1339.423246,0.140487
1607.307895,0.162282
1875.192544,0.185143
2143.077193,0.207680
2410.961843,0.229891
2678.846492,0.250138
2946.731141,0.267389
3214.615790,0.284407
3482.500439,0.299144
3750.385089,0.314851
4018.269738,0.328223
4286.154387,0.340678
4554.039036,0.352586
4821.923685,0.363306
5089.808334,0.373537
5357.692984,0.383107
5625.577633,0.394000
5893.462282,0.403251
6161.346931,0.413198
6429.231580,0.423388
6697.116230,0.431716
6965.000879,0.440107
7232.885528,0.447858
7500.770177,0.455886
7768.654826,0.463550
8036.539475,0.470694
8304.424125,0.476917
8572.308774,0.482488
8840.193423,0.487352
9108.078072,0.492669
9375.962721,0.498273
9643.847371,0.503845
9911.732020,0.508373
10179.616669,0.513239
10447.501318,0.517353
10715.385967,0.521349
10983.270616,0.524874
11251.155266,0.528078
11519.039915,0.531319
11786.924564,0.534471
12054.809213,0.536854
12322.693862,0.539226
12590.578512,0.541216
12858.463161,0.543295
13126.347810,0.545092
13394.232459,0.546678
13662.117108,0.548328
13930.001757,0.549715
14197.886407,0.550949
14465.771056,0.551978
14733.655705,0.553018
15001.540354,0.554110
15269.425003,0.555106
15537.309653,0.555980
15805.194302,0.556865
16073.078951,0.557535
16340.963600,0.558043
16608.848249,0.558592
16876.732898,0.559153
17144.617548,0.559660
17412.502197,0.560180
17680.386846,0.560433
17948.271495,0.560619
18216.156144,0.560939
18484.040794,0.561258
18751.925443,0.561391
19019.810092,0.561604
19287.694741,0.561869
19555.579390,0.562029
19823.464039,0.562334
20091.348689,0.562440
20359.233338,0.562706
20627.117987,0.562852
20895.002636,0.563104
21162.887285,0.563302
21430.771935,0.563435
21698.656584,0.563581
21966.541233,0.563634
22234.425882,0.563687
22502.310531,0.563779
22770.195180,0.563779
23038.079830,0.563832
23305.964479,0.563859
23573.849128,0.563885
23841.733777,0.563925
24109.618426,0.563925
24377.503076,0.564004
24645.387725,0.564044
24913.272374,0.564070
25181.157023,0.564097
25449.041672,0.564123
25716.926321,0.564137
25984.810971,0.564137
26252.695620,0.564163
26520.580269,0.564163
26788.464918,0.564176
