Distance,F-value
0.000000,0.000000
76.844909,0.000000
153.689817,0.009000
230.534726,0.021000
307.379635,0.042000
384.224543,0.064000
461.069452,0.090000
537.914361,0.141000
614.759269,0.163000
691.604178,0.192000
768.449087,0.219000
845.293995,0.259000
922.138904,0.288000
998.983812,0.313000
1075.828721,0.342000
1152.673630,0.379000
1229.518538,0.410000
1306.363447,0.441000
1383.208356,0.460000
1460.053264,0.494000
1536.898173,0.521000
1613.743082,0.537000
1690.587990,0.553000
1767.432899,0.575000
1844.277808,0.594000
1921.122716,0.611000
1997.967625,0.629000
2074.812534,0.644000
2151.657442,0.653000
2228.502351,0.670000
2305.347260,0.686000
2382.192168,0.693000
2459.037077,0.712000
2535.881986,0.722000
2612.726894,0.738000
2689.571803,0.749000
2766.416712,0.763000
2843.261620,0.770000
2920.106529,0.782000
2996.951437,0.791000
3073.796346,0.800000
3150.641255,0.809000
3227.486163,0.814000
3304.331072,0.826000
3381.175981,0.838000
3458.020889,0.845000
3534.865798,0.850000
3611.710707,0.859000
3688.555615,0.868000
3765.400524,0.871000
3842.245433,0.878000
3919.090341,0.883000
3995.935250,0.886000
4072.780159,0.896000
4149.625067,0.897000
4226.469976,0.903000
4303.314885,0.908000
4380.159793,0.914000
4457.004702,0.917000
4533.849611,0.922000
4610.694519,0.927000
4687.539428,0.928000
4764.384337,0.930000
4841.229245,0.931000
4918.074154,0.935000
4994.919062,0.937000
5071.763971,0.941000
5148.608880,0.944000
5225.453788,0.946000
5302.298697,0.950000
5379.143606,0.952000
5455.988514,0.953000
5532.833423,0.956000
5609.678332,0.957000
5686.523240,0.960000
5763.368149,0.963000
5840.213058,0.963000
5917.057966,0.964000
5993.902875,0.967000
6070.747784,0.968000
6147.592692,0.972000
6224.437601,0.977000
6301.282510,0.980000
6378.127418,0.983000
6454.972327,0.987000
6531.817236,0.991000
6608.662144,0.993000
6685.507053,0.993000
6762.351962,0.993000
6839.196870,0.994000
6916.041779,0.994000
6992.886687,0.995000
7069.731596,0.995000
7146.576505,0.995000
7223.421413,0.996000
7300.266322,0.997000
7377.111231,0.997000
7453.956139,0.999000
7530.801048,0.999000
7607.645957,0.999000
7684.490865,0.999000
